# Humanoid 12DOF one walking cycle joint angles
# SIM trajectory export only / 실제 CAN 송신 없음
# freq_hz = 0.42
# cycle_sec = 2.380952
# sample_dt = 0.1
# unit = degree

# joint direction 기준
# hip_f_joint   + = 다리 뒤로, - = 다리 앞으로
# hip_a_joint   + = 벌림, - = 모음
# hip_r_joint   + = 외회전, - = 내회전
# knee_joint    + = 무릎 굽힘, - = 무릎 폄
# ankle_f_joint + = 발등 들기, - = 발끝 내리기
# ankle_r_joint + = 안쪽 기울임, - = 바깥쪽 기울임

time_sec,left_hip_f_joint,left_hip_a_joint,left_hip_r_joint,left_knee_joint,left_ankle_f_joint,left_ankle_r_joint,right_hip_f_joint,right_hip_a_joint,right_hip_r_joint,right_knee_joint,right_ankle_f_joint,right_ankle_r_joint
0.000,18.000,0.000,0.574,5.000,0.000,-0.000,-18.000,-0.000,0.574,5.000,-0.000,0.000
0.100,17.377,0.430,0.916,5.752,0.213,-0.352,-17.377,0.430,0.916,5.098,-0.140,-0.352
0.200,15.551,0.831,1.194,10.230,1.478,-0.680,-15.551,0.831,1.194,5.682,-0.526,-0.680
0.300,12.648,1.174,1.389,19.987,4.236,-0.961,-12.648,1.174,1.389,6.955,-1.110,-0.961
0.400,8.869,1.436,1.489,33.630,8.091,-1.175,-8.869,1.436,1.489,8.734,-1.840,-1.175
0.500,4.476,1.598,1.485,46.152,11.630,-1.308,-4.476,1.598,1.485,10.368,-2.667,-1.308
0.600,-0.226,1.650,1.378,50.987,12.996,-1.350,0.226,1.650,1.378,10.998,-3.542,-1.350
0.700,-4.913,1.587,1.177,45.196,11.360,-1.299,4.913,1.587,1.177,10.243,-4.414,-1.299
0.800,-9.260,1.415,0.893,32.276,7.708,-1.158,9.260,1.415,0.893,8.558,-5.235,-1.158
0.900,-12.966,1.145,0.548,18.842,3.640,-0.936,12.966,1.145,0.548,6.805,-5.953,-0.936
1.000,-15.774,0.795,0.165,9.582,-1.067,-0.650,15.774,0.795,0.165,5.598,-6.520,-0.650
1.100,-17.489,0.390,-0.230,5.564,-4.754,-0.319,17.489,0.390,-0.230,5.074,-6.885,-0.319
1.200,-17.994,-0.041,-0.609,5.000,-0.001,0.034,17.994,-0.041,-0.609,5.001,0.000,0.034
1.300,-17.253,-0.470,-0.945,5.127,-0.167,0.385,17.253,-0.470,-0.945,5.976,0.276,0.385
1.400,-15.318,-0.867,-1.216,5.773,-0.574,0.709,15.318,-0.867,-1.216,10.928,1.675,0.709
1.500,-12.322,-1.203,-1.403,7.109,-1.174,0.984,12.322,-1.203,-1.403,21.171,4.570,0.984
1.600,-8.473,-1.456,-1.493,8.910,-1.915,1.191,8.473,-1.456,-1.493,34.976,8.472,1.191
1.700,-4.037,-1.608,-1.479,10.483,-2.749,1.316,4.037,-1.608,-1.479,47.034,11.879,1.316
1.800,0.678,-1.649,-1.363,10.985,-3.626,1.349,-0.678,-1.649,-1.363,50.885,12.968,1.349
1.900,5.347,-1.576,-1.153,10.110,-4.496,1.289,-5.347,-1.576,-1.153,44.174,11.071,1.289
2.000,9.645,-1.393,-0.863,8.381,-5.308,1.140,-9.645,-1.393,-0.863,30.919,7.325,1.140
2.100,13.275,-1.114,-0.513,6.661,-6.014,0.912,-13.275,-1.114,-0.513,17.737,3.202,0.912
2.200,15.986,-0.758,-0.127,5.520,-6.564,0.620,-15.986,-0.758,-0.127,8.983,-1.490,0.620
2.300,17.591,-0.350,0.267,5.053,-6.907,0.286,-17.591,-0.350,0.267,5.409,-4.995,0.286
